职位名称,薪资,所在地,职位简介,职位详情,经验要求,学历要求,招聘人数,公司名称,类型,规模,领域,公司详情
急聘数据分析师,0.7-1万/月,上海,|五险一金|带薪年假|加班补贴|绩效奖金|弹性工作,|职位描述 1）负责产品数据资源的收集、整理、储存以及管理工作，熟练使用EXCEL（函数和VBA）（或者SQL、Python等工具）对数据进行提取、整理工作； 2）具备业务敏感度和数据思维，能够较好的理解用户需求、业务场景和流程、数据应用场景等，利用统计学和数据分析工具解决实际业务中的运营指标体系监控，市场分析，竞品分析，用户分析，业务洞察等工作； 3）参与项目的数据应用需求调研工作，包括用户调研，价格测试，产品体验调研，需求调研，用户访谈等用户研究工作。 4）参与项目推进过程中的业务优化，能够结合分析报告和调研报告，为相关业务提供可落地的决策意见和执行方案。| 任职要求 1、2年以上互联网从业经验，1年以上数据分析工作经验； 2、本科以上学历，数学/统计学/计算机/市场营销学/心理学等专业优先； 3、熟练掌握Office办公软件，会使用Xmind/Visio等沟通软件。至少熟练掌握EXCEL/SPSS/Python等其中一门数据分析工具； 4、具备一定的数据编程语言基础，能够使用Python爬虫，抓取并整理数据（加分项）； 5、具备有一定数据可视化分析能力与算法能力（会用POWER BI/Tableau等可视化软件）（加分项）； 6、拥有良好的业务SENSE，优秀的沟通能力，学习能力，和团队合作沟通能力，工作以结果为导向，自我价值驱动，能够积极主动的发现问题，思考问题和解决问题。|职能类别：大数据开发工程师|关键字：数据分析数据挖掘数据分析师数据处理统计,3-4年经验,本科,3,上海一里井会展服务有限公司,民营公司,50-150人,公关/市场推广/会展,"上海一里井会展服务有限公司----全国十佳搭建商，展台解决方案专家！上海一里井会展服务有限公司是一家从事展台、展厅设计、制作与搭建于一体的专业型综合性会展服务公司。我们有专业的综合型团队，包括市场、设计、工程、策划四个部门。公司有工厂现已覆盖上海、北京、广州、武汉、西安、成都、郑州、沈阳、南宁等全国30个大中城市，工厂当地化占比65%。先后为多家大型公司打造展示工程，比如飞利浦小家电、松下小家电、德国西门子、三星电子、JVC、索尼爱立信、上海城市规划管、海洋博览会、世界***奢侈品峰会演出舞台、深圳电子展等。还承办上海松江区成立十周年庆、松江区旅游节、团拜会等大型活动,均取得了良好的效果。企业文化：同里共井，因井生市；坚信合作、共享、共赢以及创造性的商业发展模式。2017年公司发展战略重点：会展文化设计+互联网◆专注于会展行业。◆致力打造行业领先品牌。◆全球一体化经营模式。◆工厂本土化运营理念。◆为客户控制成本，提高效能。◆会展互联网化，提高工作效率，创造企业价值。公司经营项目：展台展厅设计制作与搭建、舞台、活动与会议、专卖店、展示厅施工、室内外装潢。提供“一站式”服务，只要客户需要我们一定做到。公司成立九周年，工厂成立十三周年！GlobalBusinessIntegrationServicesProvider"
电商数据分析（天猫）,0.8-1.2万/月,上海,|五险一金|免费班车|餐饮补贴|绩效奖金|年终奖金,"|工作内容：|1、协助处理旗舰店（天猫、京东）与竞品每日销售数据记录、监控、分析，进行数据化运营管理；|2、对旗舰店与竞品日常活动及大促相关数抓取与分析，帮助运营更好的回顾活动结果及更准的分析对手活动情况；|3、电商全渠道数据的获取和分析|4、协助对销售情况记录、监控、分析；大型活动分析、复盘，行业大盘分析及市场趋势研究；|5、对敏感数据指标建模预测辅助各部门的决策对异常数据进行解析排查原因。||岗位要求：|1、本科学历或以上，数学、统计学、信息与计算科学、电子商务、金融、工商管理等专业；|2、较好的掌握数据分析方法及熟练使用多种数据分析工具的使用,并能够使用恰当的方法对大量数据进行整理分析|3、 有较强的责任心，耐心仔细，吃苦耐劳，良好的沟通能力以及团队协作精神；|职能类别：电商运营电商专员|关键字：数据分析活动运营PPT",3-4年经验,大专,1,上海联蔚信息科技有限公司,民营公司,1000-5000人,计算机软件,"公司介绍上海联蔚信息科技有限公司(简称：联蔚科技，英文名称：ShanghaiConnextInformationTechnologyCo.,Ltd)成立于2000年，前身为贝塔斯曼旗下欧唯特集团的下属子公司，欧唯特信息系统（上海）有限公司。公司在数字化服务和信息技术服务领域拥有十年以上的沉淀，基于深厚的行业经验和客户洞察，帮助金融、汽车、零售、消费品、高科技、房地产等行业企业应对数字化时代瞬息万变的商业挑战。公司的四大核心业务为金融科技、电子商务、CRM和数字营销、云服务，拥有大量知名的客户案例和行业领先的解决方案。为顺应行业客户的数字化转型和升级浪潮，公司还将在数字化云安全、互联网技术培训、基于工业4.0的系统集成、智能互联和物联网等领域谋求建树，持续进行投入和拓展，致力于为行业客户的数字化进程创造更多的价值。联联蔚科技的总部位于上海，在南京、北京、广州、深圳均设有研发和服务机构，拥有超过500名专业人才，公司非常关注人才的培养和发展，并且积极履行企业的社会责任。公司也是IBM、Microsoft、SAP、Adobe、Sitecore、Efront、AWS、阿里云等国际知名厂商在中国地区的重要合作伙伴公司总部：上海市徐汇区平福路188号2号楼5楼北京分部：北京市霄云路26号B2708室广州分部：广州天河区林和西路161号中泰国际广场A1601室南京分部：南京市秦淮区应天大街388号1865创意产业园C2栋现公司由于业务需要，诚聘所述人员。"
数据分析师,1-1.5万/月,上海,|五险一金|通讯补贴|餐饮补贴|员工旅游|绩效奖金|定期体检|年终奖金,|1， 每月对收集汇总上来的数据，按照部门制定的数据分析规划要求，进行合理的数据处理，在规定的时间内完成相关数据分析报告|2， 协助公司管理层，对各类数据进行汇总分析，并能协助进行分析模型的逻辑结构和模型建立，为后续工作开展打下基础。|3， 对收集的数据能进行格式要求，制定相应的模板框架。|4， 能在既定数据分析框架的基础上，针对公司的现状，提出合理的分析思路，并能协助落实。|5， 利用现有数据分析内容，完成基本的数据可视化的基础搭建。|6， 协助公司各部门进行相关的数据处理工作||岗位能力要求：|1， 熟练掌握office操作，尤其是excel操作，需要具备较强能力。同时对数据库操作有一定基础，能做简单的数据库处理。|2， 对各类数据分析工具有一定了解，能做基本操作，比如Power BI，Python，Finereport等工具。|3， 较强的逻辑性，并能对业务流程较为熟悉|4， 保密性强，不将涉及的分析数据对外传播。||职能类别：数据库工程师(DBA)|关键字：python数据库,3-4年经验,大专,2,辰诺（上海）国际贸易有限公司,外资（非欧美）,50-150人,贸易/进出口,JelleyBrown是畅销美国50年的乳酸菌饮料品牌。其所有产品都采用100%新西兰奶源，无任何防腐添加，目前已经通过美国FDA和英国BRC认证，并成功进入全球4大洲11个国家并深受当地消费者喜爱。JelleyBrown2004年在中国设立注册资金1288万美金，占地12000平方，年产量15000吨的美资独资企业迪洛爱实业有限公司，主要研发和生产乳酸菌饮料，产品直接销往美国，英国，加拿大等欧美国家和东南亚国家。2013年，JelleyBrown成立辰诺（上海）国际贸易有限公司，确立中国是下一个渴望进取的目标。辰诺（上海）国际贸易有限公司致力于将美国JelleyBrown乳酸菌饮料引进中国市场，建立自我创新持续发展的销售模式和管理体制，立志成为国内高品质乳酸菌的行业领导者。公司迅速发展之际，提供广大发展空间，诚挚邀请有志人士共同发展。公司网址www.jelleybrown.com
运营数据分析员,6-9千/月,深圳,|包住宿|加班补贴|带薪年假|五险一金|弹性工作|节日福利,|运营管理专员职责：|一：运营管理|1、搜集公司各类运营数据，分析总结出各部门的运营指标体系，建立公司运营管理数据分析模型，并形成每月/季度/半年度/年度运营报表；|2、整理、监测、分析公司主要经营数据，对异常数据的进行预警，综合历史数据进行横向纵向的差异化管理，主动找出数据差异，结合业务管理，针对性分析，找出问题并提出解决方法；|3、对各部门日常运营活动进行跟踪与管控；|4、完成总经理不定期下发的相关运营报表统计；|5、定期参与组织召开运营管理会议，会前搜集问题，会后跟进解决问题，并评估效率与效果。|二：绩效管理|根据公司业务特点与企业特征，建立与优化各部门及个人的绩效考核体系，帮助公司通过可量化指标对各部门及个人进行考核与管控。|三：计划管理|协助上级制定月度/年度工作计划及业务费用预算，跟进各部门年度工作计划完成情况。|四：上级交办的其他任务。|任职要求：|1、  大专以上，财务、数学、工商管理、人力资源等专业优先；|2、  有两年以上绩效管理/运营管理/数据分析等方面工作经验；|3、  对Excel操作熟练，如函数公式、透视表、画图等；有一定的文字组织能力；|4、  有严密的逻辑思维能力与数据分析能力；| |5、  工作认真严谨、沟通能力强。|职能类别：人力资源信息系统专员薪资福利经理/主管,2年经验,大专,1,华伦玩具（深圳）有限公司,外资（非欧美）,500-1000人,家具/家电/玩具/礼品,工厂简介：本公司系大型港资花园式工厂，位于宝安区福永凤凰第一工业区，毗邻深圳机场（10分钟）、福永/沙井汽车站（5分钟）、107国道（3分钟），公司门前公交站直通地铁11号线塘尾站、福永站，交通十分便利，全空调之工作环境，宿舍配有空调、热水，厂区内设有休闲广场、篮球场、医务室、夫妻公寓、餐厅等完善的福利设施，合理的薪酬及购买社保、包食宿等良好的福利待遇。
数据分析师,0.8-1.2万/月,上海,|五险一金|带薪年假|做五休二,|1.负责零售的产品、会员、供应链的指标建立以及数据体系搭建和优化；|2.负责数据报表的制作，并进行常态的监控，推动数据平台的完善(Temp BI)；|3.及时对业务进行分入分析，发现业务中存在的问题，并提供改进意见；|4.根据具体业务问题，提供专项的数据分析报告；|5.了解常用数据挖掘算法(如分类、聚类、回归、关联规则等)，具备相关项目经验优先；|6.完成领导交代的其他任务；|任职要求：|1、本科以上学历，理工科专业，2年以上相关工作经验；|2、熟练掌握SQL，熟悉Python、Oracle、R等数据库/语言；|3、熟练使用Excel、PPT、Tableau、PowerBI、TempBI等商业BI工具；|4、熟练使用X-mind制作各种思维导图；|5、有很强的责任感，良好的团队意识， 有良好的数据敏感度、数据分析能力和思维， 具备较强的自学能力和良好的沟通协调能力。|职能类别：数据库工程师(DBA)市场分析/调研人员,3-4年经验,本科,1,上海视互力商贸有限公司,民营公司,150-500人,互联网/电子商务,美瞳风尚标上海视互力商贸有限公司成立于2008年，公司旗下拥有国内***的隐形眼镜网络销售平台4inlook眼镜网（www.4inlook.com）。是国内隐形眼镜零售的领先者，我们的目标是打造国内***的隐形眼镜及框架眼镜网络购物平台，让消费者方便快捷足不出户就能享受到最时尚的，高品质却十分平价的眼镜产品。品牌荣誉视互力旗下的4inlook眼镜网从08年成立以来，一直位列全国隐形眼镜行业销售收入和利润前三甲，并拥有多个知名自主隐形眼镜品牌。2010年被上海市眼镜协会评为优秀眼镜企业、被百度评为优秀电商推广企业等。2011年公司实现营业收入突破5000万元人民币，销售规模位居全国隐形眼镜企业第2位。价值理念上海视互力商贸有限公司将融合先进科技和人文关怀的服务理念，秉承创新、进取、追求知识的公司文化，让广大用户充分体验到网上购物的乐趣，努力创建更加安全和完善的隐形眼镜供应、销售和服务体系，成为中国大众美瞳时尚界的一面旗帜。
数据分析师,1.3-2万/月,深圳,|五险一金|员工旅游|交通补贴|餐饮补贴|年终奖金|定期体检,|职责描述：|1、参与BI相关大数据系统的需求对接、架构设计、并跟进验收实现；  |2、负责规划和实施中对各业务主题进行分析及优化； |3、负责项目报表需求进度，参与实施、推进项目达成验收；|4、支持业务部门对业务数据进行挖掘，找出核心问题，并提出关键举措，推动运营指标及业务能力的提升级 |任职要求： |1.本科及以上学历，数据分析、计算机科学与技术、统计学、财务会计等本科及以上学历； |2.年及以上的BI项目及数据分析工作经验； |3熟练使用至少一种关系型数据库（Oracle Sql/Server MySql），有数据库优化经验，有非关系型数据库使用及PLSQL等脚本编程经验优先； |4、对数据敏感，具备优秀的分析技巧以及报告展示能力，了解主流报表工具或新兴前端报表工具； |5、有较强的计划和组织协调能力，具备结果导向思维，工作踏实、对数据分析工作有热情。|职能类别：大数据开发工程师,3-4年经验,本科,1,深圳市江波龙电子股份有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,深圳市江波龙电子有限公司(longsys）成立于1999年，总部位于深圳，在北京、上海、香港、台北、美国、泰国等地设有分公司或办事处。主要从事消费类、嵌入式、无线等存储应用方案设计、创新型技术产品的研发和全球销售。江波龙结合市场反馈信息，致力于为客户提供创新设计的存储应用产品服务。公司研发设计团队人数超过总人数50%，在产品研发上勇于创新，具备IC固件设计，晶圆封装的基板设计和开发移动客户端APP的能力，我们一直专注于存储周边产品的专业技术创新。江波龙致力于为个人用户、行业用户、移动互联网、无线家庭提供存储应用产品及服务。大事记：2004年获得深圳市高新技术企业认定证书；2006年获得深圳市软件企业认定证书；2007年获得国家集成电路设计企业认定证书；2008年获得国家高新技术企业证书和ISO9001质量管理体系认证证书；2011年被评为广东省软件百强企业；2012年获得“深圳市2011年度知识产权优势企业”称号，并获深圳市直通车企业资质；2013年获广东省“软件和集成电路设计产业百强培育企业”；2014年获国家海关双A企业单位称号；2015年获广东省“知识产权优势企业”称号；2016年获深圳市“直通车服务企业”称号；2017年收购国际知名存储品牌Lexar。福利待遇：伙食补贴：200元/月；交通补贴：200元/月；通讯补贴：100元/月；奖金：年度奖金、项目奖、专利奖等；保险及公积金：五险一金及商业意外险；旅游：每年度至少安排一次全体员工旅游；体检：每年度安排一次全体员工免费体检；入户：公司予以办理入户深圳手续。关于假期:每周5天工作制，按照国家法律规定实施假期制度，享有带薪年假。
商业数据分析师,0.8-1.5万/月,上海,|五险一金|交通补贴|餐饮补贴|弹性工作|定期体检|年终奖金,|岗位职责：|1、理解公司内部或客户的洞察需求，利用结构化和非结构化的大数据进行消费者洞察分析；|2、有效整合数据分析结果，撰写逻辑严谨、结论清晰的消费者洞察报告；|3、优化数据分析方法和流程，建立大数据分析模型，提升工作质量和效率。||岗位要求:|1、2年以上工作经验，独立撰写过计划书、分析报告，有消费者研究洞察、咨询管理工作，有大数据处理分析处理经验优先|2、具备较强逻辑思维能力、商业敏感性、营销思维；优秀的信息收集、整合、分析能力；|3、统计学、数学、计算机、市场营销、心理学相关专业；|4、熟悉SQL Python，能用SQL、Python进行数据分析，熟练的PPT  excel 技能；|5、对数据挖掘、统计、机器学习和自然语言处理的概念、方法和应用有一定的理解；|6、自我驱动，有强烈的好奇心、责任心与团队沟通能力， 追求结果导向，有一定抗压能力；|7、相信大数据在市场营销领域的应用价值和前景，有消费者洞察项目/实习经验者优先。|职能类别：情报信息分析人员|关键字：数据分析消费者洞察用户研究撰写报告SQLPython商业,2年经验,本科,2,上海宏原信息科技有限公司,民营公司,50-150人,互联网/电子商务,上海宏原信息科技有限公司成立于2013年，坐落于上海漕河泾科创园区。宏原科技创办的根本驱动因素在于我们深刻意识到了数据和机器学习的技术将深刻的改变企业的营销理念和营销方式，从商业应用场景出发，在结合大数据和机器学习、深度学习的技术，解决营销中的数据分析和决策问题。公司创办伊始，我们就致力于将大数据、人工智能技术应用于营销实践，帮助品牌建立更先进的营销模式，精准触达用户，进一步提升营销效率，助力业务持续增长。我们是国家高新技术企业和“双软”认证企业，致力于提升营销智能化的水平，提升品牌企业在DT时代的竞争力，并且正以社会化营销的理念，大数据的思想及其先进技术手段，引领市场营销行业进行重大变革。公司在2019年更是被评定为上海市产业转型升级发展专项资金（人工智能）支持企业。公司由来自大数据研究，机器学习学术界的学者，拥有长期营销行业实践经验的高管组成的跨界团队。公司自成立以来，得到了包括宝洁，欧莱雅，雅培，伊利，海尔等国内外一流品牌企业的认可，并建立了和阿里巴巴，微博等平台的深度合作关系。这里有大数据时代下优越的客户投放管理机会，以及将市场研究洞察和营销结果连接的机会，欢迎有想法，有魄力，敢于挑战未知的伙伴加入我们！
数据分析工程师,0.6-1.1万/月,广州,|五险一金|免费班车|员工旅游|餐饮补贴|专业培训|绩效奖金|年终奖金|周末双休,"|1. 理解业务需求，搭建基础数据建设，保证数据质量；|2. 做好需求的校验、整理，及时更新完善需求，交付相应报表报告；|3. 快速响应并整理细化临时数据需求，为各种大促活动提供数据支持，出具相应的临时需求报表，提出合理化建议；|4. 开发符合业务需求的各类报表，定期输出日、周、月、季报等数据报表或相应报告，对异常数据进行深入分析；|5. 维护项目数据系统的数据，完成数据的处理以及检验，优化管理相应的数据表、结构等，保证数据前端展示的及时性以及准确性；|6. 完成上级交代的其他事项。任职资格：1.国家正规院校毕业，本科或以上学历，数学、统计学、信息与计算科学、计算机、通信工程、物流管理或工商管理类专业；|三年以上数据分析，数据支撑类工作经验；2.对数据敏感，有较好的数据分析处理能力,精通SQL、Excel、PowerBI，Tableau等数据工具；3.熟悉常用的数据库查询表结构的处理及写脚本，PLSQL存储过程及sql优化； 4.有使用PowerBI、帆软BI、DataV等工具制作大屏，实现数据可视化经验优先；5.具有较强的学习能力、良好的沟通能力和应变能力；6.具有较好的英文读写能力，有外企数据项目经验者优先；|7.有电商行业数据分析行业工作经验优先；|||职能类别：大数据开发工程师数据库工程师(DBA)|关键字：大数据数据分析SQL",3-4年经验,大专,1,广东赛百威信息科技有限公司,民营公司,150-500人,计算机软件,广东赛百威信息科技有限公司（以下简称：赛百威）成立于1996年，是领先的互联网+服务提供商。作为最早从事软件开发的企业之一，赛百威迄今已有20+年经验积累，为宝洁、玛氏、屈臣氏、富力、万科等世界500强企业及政务部门成功提供了互联网化服务，并赢得广泛好评和信赖，成为客户长期的合作伙伴。赛百威总部位于广州，在苏州、深圳、武汉均设有分公司，服务踪迹遍布全国，并向亚太地区辐射，核心的技术团队由国内***批从事互联网技术的专业人才组成，且具有多年的互联网行业解决方案能力的实战经验。赛百威立足于行业洞察，以软件研发为核心，以客户需求为核心，在快消、地产、政务、厂内物流、连锁电商五大核心行业发力并取得重大突破。其中在智慧社区领域，赛百威成功打造了彩生活、合生活、国光2025PARK、富力智慧社区、泛海项目等多个业界标杆；在互联网+企业应用上，赛百威发布了魔鸽移动设备管理平台、E-learning云学堂平台、workflow工作流平台等，持续为企业创造***价值，积极推动社会信息化与数字化运作。从2012年起，赛百威与兄弟公司广州博士科技展开深度合作和资源共享。广州博士俱乐部拥有上万名高级博士人才，赛百威借力博士科技的人才优势、研发优势和平台优势，将软件的研发与推广推向更高的层次。为了更好地顺应市场发展及提供高质量的互联网+服务，赛百威重视自主创新不断加大研发投入，从软件定制逐步迈向产品化、平台化及开放运营的发展方向。现已自主研发出一系列创新型互联网+应用，并取得40多项专利及著作权。融合创新，助力成长。赛百威将矢志利用创新的互联网技术推动社会的发展与变革，提升企业的核心竞争力，促进社会的高效运作。丰富的企业文化生活1、为加强员工的团队合作精神，公司有设立专项的团队建设活动经费；2、节假日party:每逢国内传统节日，公司会举办相应活动并派发礼品，如：中秋节、端午节等，让员工感受到家一样的温暖；3、丰富多彩的员工组织：篮球协会、足球协会、羽毛球等体育组织；生日party、聚餐、联谊活动、户外拓展等亲情组织；在这里，你的工作很丰富开心，我们尽力提供一个平台，令每一位伙伴有发挥个人优势或能力，展现个人魅力：1、灵活工作制，每周五天&每天7.5小时工作时间，您可根据住址远近灵活上下班，帮您完美避过人流高峰期；2、六险一金，保障员工工作开心，生活安心；3、公司设有小餐厅、员工休息室、活动室，员工享有餐补、差旅补贴、园区停车补贴、交通补贴等；4、凡在公司聘用期间的员工结婚、生育，公司将送上温馨的关怀，赠送贺金；5、员工可以享受优厚的各类带薪假期，可根据需要灵活安排和家人团聚的时间；6、完善的奖励制度：凡员工有杰出表现或特殊贡献，哪怕只是运营改善的建议，根据贡献大小，都将及时获得相应奖励；7、公司致力于为员工提供发挥个人才能的舞台，良好的职业发展平台，对合适人才提供优厚薪资福利待遇；8、上下班提供交通巴士（班车）接送，.....随着公司各行业项目及产品业务不断扩展，期待有理想有追求的精英加入我们的团队所述人员一经录用，将收获优越舒适的办公环境，先进的资讯及培训系统，以及赛百威独特的积极友善、向上向真的文化氛围。请各位应聘者如实填写简历，以免浪费彼此宝贵的时间，请勿重复投递简历，多谢合作！
数据分析师(外汇/黄金分析师）,0.8-1万/月,苏州,,|投递简历请注意：|1、本岗位为金融技术岗，非软件行业的纯数据分析；|2.因公司发展需简要，诚向社会招收优秀的金融人才，只要你拥有完善的操作系统，能够稳定性盈利，或者对金融行业非常感兴趣，致力于成为优秀的金融人才，公司都会提供相应的资金以及机会。||岗位描述：|1、本科及以上学历，经验丰富的专科学历者可考虑，金融、证券、经纪等相关专业背景（***懂外汇交易）|2、熟悉金融市场，有金融类投资分析师资格证和金融公司从业经历优先|3、掌握各类经济分析理论和工具，对金融市场规律有深刻理解，对宏观经济层面有独到的分析能力|4、具备较强的信息收集、热点捕捉和文字写作能力，以及独立的行情研究与判断的能力并能及时进行相关性分析及讲解|5、熟练使用各种技术分析指标，有较强的分析能力，可以结合市场走势及时提出分析和策略参考建议并能遵循风控制度，及时上报操作中出现的差错和异常|6、 通过模型，对数据做比较、分析，做修正|||对无相关从业经验者提供岗前培训，并在实习期内根据个人能力，定向发展成为：分析师助理（储备分析师），培训助理（培训讲师）。|职能类别：证券/期货/外汇经纪人,在校生/应届生,大专,2,苏州兴志合软件信息服务有限公司,外资（非欧美）,150-500人,电子技术/半导体/集成电路,我们是人力资源和社会保障部授权的一家致力于金融教育培训的专业整体金融服务商，拥有中国中化集团冠通期货股份有限公司授权投资者教育基地的资质背景，同时作为江南大学金融系指定挂牌校外实习基地，公司通过线下现场免费培训、网络视频培训、投资者教育沙龙、程序化交易主题研讨会、策略研讨分享会以及其他泛主体推介会等形式构成的金融教育培训体系，开创了国内财经教育培训领域的新模式、新思路、新突破。元坤资产针对不同的投资者群体，开设了前导、基础、冲刺、实战等课程，全面贯彻《国家中长期人才发展规划纲要（2010-2020年）》及《金融人才发展中长期规划（2010-2020年）》文件，借鉴国际先进经验，结合我国金融市场的需求，对全国金融投资者、从业者的金融基础知识、专业技能水平、风险控制管理等进行全方面的教育培训，培养和造就一支数量充足、结构合理、素质优良、充满活动、具备国际竞争力的人才队伍，为增强我国金融实力和竞争力，维护国家金融安全奠定人才基础。经过两年多的不断努力，逐步发展，元坤资产现在共开设有无锡，苏州，常州，上海，江阴，南通，张家港等7家分公司，立足江苏，服务全国，为全国的金融行业相关从业人员提供更好教育培训服务，同时对广大金融投资者提供系统化的资金管理方案
大数据分析师,1-2.5万/月,深圳,|五险一金|绩效奖金|补充医疗保险|定期体检|员工旅游|出国机会,"||一，岗位职责：|1．对后台高级数据进行的分析、统计及挖掘工作；建立和维护数据分后台的产出；|2．根据功能需求和设计方案进行开发，完成代码的编写和调试工作；|3．根据业务需求编写算法文档；|4．和德国总部协调合作完成共同的项目指标；||    |二，职位要求：|1.学历要求：本科及以上学历；|2.专业要求：数理统计、数学、计算机相关专业；|3.技能要求：|① 2年以上数据分析相关工作经验，有过高级数据项目的相关设计、开发和实施等工作经验者优先；|② 精通java、python、scala ,R,等语言之一，了解SQL等数据库技术，熟悉主流数据挖掘技术；|③ 熟练使用SQL、SPSS、SAS等进行数据分析工作，主导过大型数据平台建设者优先；|④ 熟悉Hadoop、Spark、Hive/Hbase、Storm、flink等高级数据工具；熟悉常用挖掘模型的基本原理；|⑤ 了解常用数据挖掘算法，比如逻辑回归、决策树、关联规则、序列模式、时间序列、SVM、贝叶斯、聚类等算法；|⑥ 对高级数据分析、算法设计、处理计算有强烈兴趣，拥有研究新技术和解决问题的热情和能力；|⑦ 具备良好的沟通能力和表达能力，能够独立开展业务调研、数据分析、报告编写工作；|⑧ 英语口语基本交流，具备良好的英语读写能力；||    |三．福利待遇|       1． 提供先进有效的技术应用和敏捷开发；|       2． 提供德国总部为期一个月的入职培训；|       3． 提供每年2次德国总部的进修；|       4． 根据个人情况提供一定的 home office 和弹性工作时间；|       5． 提供员工宿舍或者免费班车（二选一）；|||职能类别：数据库工程师(DBA)其他|关键字：大数据分析统计pythonSQL",2年经验,本科,1,德图仪表（深圳）有限公司,外资（欧美）,150-500人,电子技术/半导体/集成电路,"德图公司总部位于德国，是全球领先的专业生产便携式电子测量仪器的生产厂家之一。公司自1957年成立至今已研发生产了500多种测量仪器，主要用于测量温度、风速、光照、PH值、湿度、气压、气体浓度以及水的质量。目前，德图公司全球共有34个分公司，来自世界各地的3000名员工致力于为我们的顾客提供优质的产品和服务。Testo,withheadquartersinGermany,isaleadingmanufacturerofportableelectronicmeasuringinstrumentsformeasuringtemperature,velocity,light,pH,humidity,pressure,gasconcentrationandwaterquality.Establishedin1957,holds34subsidiariesworldwide.3000Testoemployeesindifferentcountrieshavecommittedthemselvestoprovidingourcustomerswiththebestproductsandservices.我们，德图仪表（深圳）有限公司，是德图公司全球全资子公司之一，主要负责公司新型产品的研发和生产。德图深圳自2001年成立至今发展为拥有300名优秀人才的中型公司。在2005年和2007年，公司还分别获得深圳市先进技术企业和深圳市高新技术企业称号。德图深圳的主要目标是在规定的时间内以正确的数量成就100%的品质，用以保证公司长期繁荣和持续成功。We,TestoInstruments(Shenzhen)Co.,Ltd.,isoneofatotalassetsbranchcompanyofTesto,andisresponsiblefortheR&Dofnewinnovativeproductsandfortheproductionaswell.Sincewehavebeenestablishedin2001,ourteamhasgrownto300members.In2005and2007,wegottheCertificatesofShenzhenAdvancedTechnologyEnterpriseandthehonorofShenzhenHi-TechEnterprise.Tocontinueourprosperityandachieveagreatersuccessinthefuture,themaingoalofTestoShenzhenis100%qualitywithintherighttimeandrightquantities.福利待遇Benefits5天工作制5workingdaysaweek社保和商业保险Socialinsuranceandcommercialinsurance在职培训On-jobtraining13月工资及年终奖13thSalary&annualbonus12-21天全薪年假12~21daysfullpayannualleave开放及激励性的工作环境Openandencouragingworkingenvironment班车Companyvehicle各种公司活动Variouscompanyactivities.公司地址：深圳市光明新区观光路光明招商局科技园B4栋班车详细路线：A线（南山宝安线）：—维也纳酒店（南新路）7：50→星海名城7：53→宝安中心B地铁口8：00→地铁环中线翻身站（天虹出口）8：03→107国道裕安路口站8：08→107国道上川路口8：13→西乡立交8：15→固戍村站8：20→鹤洲路口8：30→光明9：00D线（福田梅林线）：福田口岸7：50→中银大厦8：00→梅林关8：10→民治站8：20→民治大道与360省道交汇处8：30→龙大路口8：40→光明9：00E线（南山线）：汉唐酒店7:35→人人乐7:40→深圳湾体育馆7：50→大冲8：05→九祥岭8:23公司附近公交站点：汇业科技，东江科技园，凤凰小学面试时可乘坐的公交路线：机场5线：光明城站-宝安机场，2-7元，站点：光明凤凰小学M213路：光明中心站-梅林联检站，2-8元，站点：光明凤凰小学M337路，公明汽车站-清湖地铁口，2-6元，站点：东江科技园/汇业科技园B661路：恒泰裕总站-光明中心站，1元，站点：光明凤凰小学B722路，光明中心站-百花洞村，1元，站点：光明凤凰小学B836路，东坑-光明城站，1元，站点：东江科技园站/汇业科技园B807路，滑草场-光明城站，1元，站点：东江科技/汇业科技园B720路，塘家总站-上村，1元，站点：塘家总站/塘家村委or高铁光明站，步行20分钟，车程5分钟"
